TV,Radio,Newspaper,Sales
79.3,23.7,69.7,10.3
151.7,8.7,26.3,11.1
93.8,21.7,77.2,9.8
89.0,19.9,71.1,10.1
15.9,30.8,41.2,10.1
184.8,31.8,13.1,18.7
153.3,2.3,77.2,9.0
20.2,18.7,59.8,8.8
87.2,31.3,88.8,15.1
272.9,25.2,59.8,21.0
75.7,42.8,98.0,17.6
47.7,32.9,63.5,10.2
149.4,8.1,64.5,9.4
295.8,3.5,100.8,14.4
76.4,32.1,46.4,15.0
203.3,1.3,15.4,13.6
229.7,29.3,3.3,18.9
75.1,47.0,86.8,15.8
219.8,28.8,71.3,16.8
113.5,19.4,81.0,15.8
191.5,32.2,24.5,18.1
191.9,22.9,15.7,16.3
163.1,27.3,1.7,16.8
31.6,47.1,40.3,14.1
251.4,19.3,67.8,18.6
99.6,48.1,45.1,15.4
60.0,45.3,50.3,15.1
17.0,9.8,104.0,8.7
179.3,3.5,40.0,14.0
204.9,5.0,59.1,15.9
9.9,0.9,90.1,2.8
156.1,4.7,45.6,9.4
71.8,34.2,71.5,12.6
195.3,3.6,99.2,12.8
56.4,15.9,109.2,10.4
208.8,42.2,16.9,17.8
119.1,1.2,106.6,11.2
281.3,40.7,56.6,23.4
45.6,14.1,29.7,7.0
105.6,5.9,52.8,7.3
38.5,34.8,112.7,8.7
277.8,31.4,56.7,23.0
263.8,43.9,37.8,23.5
81.1,36.8,72.8,11.6
199.7,40.2,27.6,17.7
246.1,14.1,8.7,16.4
168.8,8.9,14.8,15.0
161.2,37.5,14.7,17.0
76.3,40.3,17.5,11.7
32.5,49.5,16.0,13.4
269.7,20.6,73.7,18.9
270.6,18.6,20.9,14.6
191.8,38.8,39.8,19.0
105.0,17.0,103.1,10.7
108.0,46.5,54.5,17.9
219.2,42.9,76.8,24.2
269.6,21.4,19.8,21.2
266.7,37.5,22.1,21.9
235.1,37.7,4.7,19.1
